fromsquarerank,fromsquarefile,piece,COUNT(*)
0,0,bishop,27939
0,0,king,26798
0,0,knight,14207
0,0,queen,92555
0,0,rook,1584356
0,1,bishop,38633
0,1,king,115871
0,1,knight,2194142
0,1,queen,81873
0,1,rook,378033
0,2,bishop,2173302
0,2,king,282699
0,2,knight,32739
0,2,queen,129122
0,2,rook,537503
0,3,bishop,55274
0,3,king,149358
0,3,knight,49819
0,3,queen,2258137
0,3,rook,940248
0,4,bishop,43615
0,4,king,2242202
0,4,knight,55617
0,4,queen,149771
0,4,rook,878311
0,5,bishop,2262071
0,5,king,291785
0,5,knight,61787
0,5,queen,81996
0,5,rook,1549493
0,6,bishop,13903
0,6,king,1154634
0,6,knight,2248465
0,6,queen,44939
0,6,rook,221278
0,7,bishop,16548
0,7,king,202131
0,7,knight,9500
0,7,queen,60009
0,7,rook,543386
1,0,bishop,62274
1,0,king,50894
1,0,knight,33564
1,0,pawn,1199855
1,0,queen,86805
1,0,rook,187442
1,1,bishop,306610
1,1,king,122370
1,1,knight,46470
1,1,pawn,1313468
1,1,queen,172612
1,1,rook,193534
1,2,bishop,140102
1,2,king,188583
1,2,knight,121139
1,2,pawn,1725705
1,2,queen,408069
1,2,rook,228198
1,3,bishop,370076
1,3,king,282710
1,3,knight,677519
1,3,pawn,2238496
1,3,queen,473291
1,3,rook,268015
1,4,bishop,544825
1,4,king,368364
1,4,knight,449979
1,4,pawn,2264871
1,4,queen,537508
1,4,rook,245172
1,5,bishop,86850
1,5,king,427287
1,5,knight,86738
1,5,pawn,1364815
1,5,queen,168651
1,5,rook,214945
1,6,bishop,293466
1,6,king,413063
1,6,knight,34628
1,6,pawn,1282389
1,6,queen,95194
1,6,rook,127060
1,7,bishop,44779
1,7,king,243251
1,7,knight,71230
1,7,pawn,1321906
1,7,queen,62780
1,7,rook,110188
2,0,bishop,115435
2,0,king,56687
2,0,knight,106038
2,0,pawn,329302
2,0,queen,92995
2,0,rook,138733
2,1,bishop,193920
2,1,king,131007
2,1,knight,162420
2,1,pawn,300421
2,1,queen,277855
2,1,rook,131943
2,2,bishop,188060
2,2,king,182208
2,2,knight,1396180
2,2,pawn,565902
2,2,queen,233374
2,2,rook,168898
2,3,bishop,637074
2,3,king,253562
2,3,knight,187807
2,3,pawn,417492
2,3,queen,412610
2,3,rook,203100
2,4,bishop,583832
2,4,king,305163
2,4,knight,190904
2,4,pawn,430750
2,4,queen,299184
2,4,rook,201511
2,5,bishop,246147
2,5,king,325287
2,5,knight,1924591
2,5,pawn,361558
2,5,queen,519962
2,5,rook,198485
2,6,bishop,144796
2,6,king,282188
2,6,knight,199891
2,6,pawn,328658
2,6,queen,228870
2,6,rook,124398
2,7,bishop,117822
2,7,king,134621
2,7,knight,94046
2,7,pawn,369883
2,7,queen,139042
2,7,rook,111964
3,0,bishop,113081
3,0,king,58190
3,0,knight,132867
3,0,pawn,433272
3,0,queen,195806
3,0,rook,122925
3,1,bishop,431027
3,1,king,126295
3,1,knight,226079
3,1,pawn,459812
3,1,queen,168890
3,1,rook,117772
3,2,bishop,703845
3,2,king,170178
3,2,knight,310588
3,2,pawn,707954
3,2,queen,216081
3,2,rook,151197
3,3,bishop,253183
3,3,king,200537
3,3,knight,645650
3,3,pawn,1106333
3,3,queen,394561
3,3,rook,184607
3,4,bishop,263287
3,4,king,228365
3,4,knight,718578
3,4,pawn,1358943
3,4,queen,311125
3,4,rook,192712
3,5,bishop,480689
3,5,king,236326
3,5,knight,285832
3,5,pawn,584438
3,5,queen,250450
3,5,rook,160842
3,6,bishop,579453
3,6,king,205980
3,6,knight,302315
3,6,pawn,430208
3,6,queen,291867
3,6,rook,106899
3,7,bishop,185737
3,7,king,105636
3,7,knight,163116
3,7,pawn,457503
3,7,queen,255246
3,7,rook,102039
4,0,bishop,83930
4,0,king,59415
4,0,knight,152133
4,0,pawn,429676
4,0,queen,254491
4,0,rook,121144
4,1,bishop,472239
4,1,king,127241
4,1,knight,248643
4,1,pawn,498137
4,1,queen,165140
4,1,rook,113295
4,2,bishop,457125
4,2,king,173056
4,2,knight,314113
4,2,pawn,830095
4,2,queen,216645
4,2,rook,144113
4,3,bishop,245694
4,3,king,196760
4,3,knight,609971
4,3,pawn,1003291
4,3,queen,406272
4,3,rook,182582
4,4,bishop,263959
4,4,king,226720
4,4,knight,762571
4,4,pawn,1037452
4,4,queen,319212
4,4,rook,195565
4,5,bishop,396995
4,5,king,232421
4,5,knight,308810
4,5,pawn,495855
4,5,queen,226812
4,5,rook,154251
4,6,bishop,691563
4,6,king,205748
4,6,knight,341023
4,6,pawn,397475
4,6,queen,285807
4,6,rook,104555
4,7,bishop,159338
4,7,king,104853
4,7,knight,182983
4,7,pawn,440265
4,7,queen,295797
4,7,rook,99714
5,0,bishop,151311
5,0,king,57552
5,0,knight,118214
5,0,pawn,377403
5,0,queen,96894
5,0,rook,140587
5,1,bishop,127787
5,1,king,138717
5,1,knight,205054
5,1,pawn,315115
5,1,queen,342578
5,1,rook,131934
5,2,bishop,212219
5,2,king,193321
5,2,knight,1329635
5,2,pawn,631763
5,2,queen,237259
5,2,rook,162430
5,3,bishop,476544
5,3,king,254461
5,3,knight,199905
5,3,pawn,624419
5,3,queen,349170
5,3,rook,198978
5,4,bishop,408031
5,4,king,292614
5,4,knight,187849
5,4,pawn,773619
5,4,queen,263606
5,4,rook,191313
5,5,bishop,303450
5,5,king,326175
5,5,knight,1772002
5,5,pawn,397217
5,5,queen,440305
5,5,rook,180408
5,6,bishop,137029
5,6,king,270160
5,6,knight,202858
5,6,pawn,385346
5,6,queen,207717
5,6,rook,114039
5,7,bishop,174469
5,7,king,137142
5,7,knight,116320
5,7,pawn,356512
5,7,queen,141925
5,7,rook,103741
6,0,bishop,46922
6,0,king,51646
6,0,knight,37179
6,0,pawn,1281956
6,0,queen,91566
6,0,rook,191220
6,1,bishop,419984
6,1,king,128624
6,1,knight,48364
6,1,pawn,1441085
6,1,queen,178124
6,1,rook,195311
6,2,bishop,100912
6,2,king,206644
6,2,knight,135233
6,2,pawn,1783919
6,2,queen,485798
6,2,rook,230221
6,3,bishop,418251
6,3,king,319890
6,3,knight,828796
6,3,pawn,2200012
6,3,queen,412954
6,3,rook,268297
6,4,bishop,711957
6,4,king,400497
6,4,knight,512999
6,4,pawn,2199864
6,4,queen,508785
6,4,rook,242684
6,5,bishop,81021
6,5,king,458277
6,5,knight,107309
6,5,pawn,1277248
6,5,queen,170214
6,5,rook,221657
6,6,bishop,424246
6,6,king,445467
6,6,knight,40907
6,6,pawn,1394138
6,6,queen,107293
6,6,rook,130590
6,7,bishop,46139
6,7,king,230685
6,7,knight,61879
6,7,pawn,1282632
6,7,queen,74530
6,7,rook,118925
7,0,bishop,31571
7,0,king,27307
7,0,knight,17419
7,0,queen,97451
7,0,rook,1584152
7,1,bishop,25017
7,1,king,114983
7,1,knight,2212167
7,1,queen,89985
7,1,rook,392829
7,2,bishop,2164050
7,2,king,281569
7,2,knight,36830
7,2,queen,138789
7,2,rook,572251
7,3,bishop,61226
7,3,king,182570
7,3,knight,47067
7,3,queen,2252487
7,3,rook,879992
7,4,bishop,50021
7,4,king,2255840
7,4,knight,69857
7,4,queen,148103
7,4,rook,759591
7,5,bishop,2241196
7,5,king,307058
7,5,knight,62919
7,5,queen,90844
7,5,rook,1443042
7,6,bishop,13513
7,6,king,1126684
7,6,knight,2228917
7,6,queen,50080
7,6,rook,233467
7,7,bishop,23037
7,7,king,189285
7,7,knight,15397
7,7,queen,70517
7,7,rook,592731
