file,rank,piece,COUNT
0,0,bishop,55768
0,0,king,45343
0,0,knight,31993
0,0,pawn,32679
0,0,queen,95251
0,0,rook,261668
0,1,bishop,90412
0,1,king,67802
0,1,knight,46318
0,1,pawn,58664
0,1,queen,108294
0,1,rook,246107
0,2,bishop,179242
0,2,king,72115
0,2,knight,142413
0,2,pawn,832152
0,2,queen,115468
0,2,rook,176440
0,3,bishop,144742
0,3,king,72655
0,3,knight,173391
0,3,pawn,849595
0,3,queen,231251
0,3,rook,154622
0,4,bishop,110248
0,4,king,74350
0,4,knight,192401
0,4,pawn,837317
0,4,queen,295647
0,4,rook,152689
0,5,bishop,242525
0,5,king,73594
0,5,knight,158220
0,5,pawn,958786
0,5,queen,120929
0,5,rook,180306
0,6,bishop,69279
0,6,king,68882
0,6,knight,51261
0,6,pawn,58062
0,6,queen,114400
0,6,rook,255062
0,7,bishop,59825
0,7,king,45879
0,7,knight,37457
0,7,pawn,31591
0,7,queen,102459
0,7,rook,266720
1,0,bishop,65829
1,0,king,175042
1,0,knight,49413
1,0,pawn,24788
1,0,queen,89130
1,0,rook,515117
1,1,bishop,432401
1,1,king,147124
1,1,knight,64968
1,1,pawn,57139
1,1,queen,220927
1,1,rook,262586
1,2,bishop,304222
1,2,king,154211
1,2,knight,239158
1,2,pawn,804154
1,2,queen,346074
1,2,rook,173937
1,3,bishop,541814
1,3,king,144260
1,3,knight,299827
1,3,pawn,1159078
1,3,queen,215032
1,3,rook,152824
1,4,bishop,604007
1,4,king,145346
1,4,knight,334669
1,4,pawn,1267064
1,4,queen,213735
1,4,rook,147826
1,5,bishop,209579
1,5,king,162796
1,5,knight,280024
1,5,pawn,819378
1,5,queen,422275
1,5,rook,172650
1,6,bishop,602984
1,6,king,154319
1,6,knight,69400
1,6,pawn,53209
1,6,queen,228305
1,6,rook,265351
1,7,bishop,45745
1,7,king,167741
1,7,knight,60742
1,7,pawn,24202
1,7,queen,100009
1,7,rook,534115
2,0,bishop,108281
2,0,king,383056
2,0,knight,54576
2,0,pawn,22955
2,0,queen,150833
2,0,rook,763192
2,1,bishop,200125
2,1,king,221373
2,1,knight,162527
2,1,pawn,50979
2,1,queen,494226
2,1,rook,318115
2,2,bishop,474543
2,2,king,210172
2,2,knight,1961175
2,2,pawn,1234017
2,2,queen,308659
2,2,rook,235677
2,3,bishop,953543
2,3,king,193348
2,3,knight,474950
2,3,pawn,1687947
2,3,queen,274956
2,3,rook,204524
2,4,bishop,671518
2,4,king,196384
2,4,knight,471704
2,4,pawn,1750424
2,4,queen,278399
2,4,rook,195152
2,5,bishop,506579
2,5,king,223565
2,5,knight,1917075
2,5,pawn,1262245
2,5,queen,310976
2,5,rook,223910
2,6,bishop,145081
2,6,king,242313
2,6,knight,180868
2,6,pawn,52106
2,6,queen,585370
2,6,rook,320602
2,7,bishop,121735
2,7,king,374993
2,7,knight,63431
2,7,pawn,22958
2,7,queen,164028
2,7,rook,804778
3,0,bishop,92077
3,0,king,184019
3,0,knight,76471
3,0,pawn,20986
3,0,queen,266607
3,0,rook,1090002
3,1,bishop,559934
3,1,king,325724
3,1,knight,848624
3,1,pawn,50987
3,1,queen,594872
3,1,rook,390594
3,2,bishop,959207
3,2,king,288864
3,2,knight,317895
3,2,pawn,822046
3,2,queen,508883
3,2,rook,286714
3,3,bishop,481279
3,3,king,226122
3,3,knight,1176642
3,3,pawn,3143581
3,3,queen,525345
3,3,rook,266434
3,4,bishop,495523
3,4,king,221933
3,4,knight,1159018
3,4,pawn,3139744
3,4,queen,529600
3,4,rook,263442
3,5,bishop,743581
3,5,king,290428
3,5,knight,335149
3,5,pawn,1228508
3,5,queen,448660
3,5,rook,285828
3,6,bishop,655544
3,6,king,369446
3,6,knight,1045627
3,6,pawn,56112
3,6,queen,531643
3,6,rook,396473
3,7,bishop,103437
3,7,king,224832
3,7,knight,76735
3,7,pawn,21017
3,7,queen,310498
3,7,rook,1036874
4,0,bishop,67171
4,0,king,161303
4,0,knight,81313
4,0,pawn,17927
4,0,queen,188607
4,0,rook,1277747
4,1,bishop,762403
4,1,king,425415
4,1,knight,587896
4,1,pawn,43366
4,1,queen,670390
4,1,rook,362780
4,2,bishop,881714
4,2,king,348049
4,2,knight,333363
4,2,pawn,839812
4,2,queen,392574
4,2,rook,290929
4,3,bishop,507728
4,3,king,259189
4,3,knight,1322191
4,3,pawn,2739030
4,3,queen,408343
4,3,rook,277195
4,4,bishop,522793
4,4,king,256880
4,4,knight,1470807
4,4,pawn,2756062
4,4,queen,422003
4,4,rook,282902
4,5,bishop,695896
4,5,king,334226
4,5,knight,324480
4,5,pawn,1539244
4,5,queen,356898
4,5,rook,283424
4,6,bishop,1024747
4,6,king,466889
4,6,knight,672691
4,6,pawn,51020
4,6,queen,641639
4,6,rook,368050
4,7,bishop,75584
4,7,king,196632
4,7,knight,98277
4,7,pawn,18255
4,7,queen,190633
4,7,rook,1138809
5,0,bishop,130642
5,0,king,368267
5,0,knight,100409
5,0,pawn,18579
5,0,queen,109515
5,0,rook,508491
5,1,bishop,155595
5,1,king,497737
5,1,knight,143946
5,1,pawn,41765
5,1,queen,248499
5,1,rook,344275
5,2,bishop,627531
5,2,king,377387
5,2,knight,2564343
5,2,pawn,826231
5,2,queen,660409
5,2,rook,286473
5,3,bishop,698170
5,3,king,271984
5,3,knight,448475
5,3,pawn,1348458
5,3,queen,331695
5,3,rook,226145
5,4,bishop,611407
5,4,king,267924
5,4,knight,490950
5,4,pawn,1272327
5,4,queen,304604
5,4,rook,220710
5,5,bishop,709074
5,5,king,380369
5,5,knight,2434168
5,5,pawn,952254
5,5,queen,580294
5,5,rook,267654
5,6,bishop,167858
5,6,king,534128
5,6,knight,186727
5,6,pawn,51163
5,6,queen,261888
5,6,rook,362869
5,7,bishop,160371
5,7,king,387884
5,7,knight,107120
5,7,pawn,19328
5,7,queen,122588
5,7,rook,518755
6,0,bishop,24384
6,0,king,1816075
6,0,knight,37107
6,0,pawn,18786
6,0,queen,51910
6,0,rook,325289
6,1,bishop,465068
6,1,king,519536
6,1,knight,55308
6,1,pawn,43594
6,1,queen,169104
6,1,rook,195349
6,2,bishop,261773
6,2,king,335277
6,2,knight,306408
6,2,pawn,950133
6,2,queen,308705
6,2,rook,181580
6,3,bishop,726737
6,3,king,239928
6,3,knight,450796
6,3,pawn,1049548
6,3,queen,383803
6,3,rook,149779
6,4,bishop,888909
6,4,king,239279
6,4,knight,510975
6,4,pawn,1039865
6,4,queen,384180
6,4,rook,147333
6,5,bishop,265758
6,5,king,322533
6,5,knight,320588
6,5,pawn,1217421
6,5,queen,285463
6,5,rook,168350
6,6,bishop,692780
6,6,king,567639
6,6,knight,67591
6,6,pawn,50524
6,6,queen,184026
6,6,rook,202507
6,7,bishop,27272
6,7,king,1737465
6,7,knight,48022
6,7,pawn,19940
6,7,queen,58460
6,7,rook,347580
7,0,bishop,28001
7,0,king,373592
7,0,knight,18817
7,0,pawn,23185
7,0,queen,64251
7,0,rook,186923
7,1,bishop,72299
7,1,king,350683
7,1,knight,96325
7,1,pawn,44617
7,1,queen,97930
7,1,rook,157093
7,2,bishop,202565
7,2,king,177366
7,2,knight,135896
7,2,pawn,994713
7,2,queen,181103
7,2,rook,154409
7,3,bishop,236898
7,3,king,135318
7,3,knight,232423
7,3,pawn,859028
7,3,queen,311109
7,3,rook,137864
7,4,bishop,203956
7,4,king,134647
7,4,knight,256196
7,4,pawn,861769
7,4,queen,353294
7,4,rook,136329
7,5,bishop,296868
7,5,king,181492
7,5,knight,174059
7,5,pawn,990478
7,5,queen,186089
7,5,rook,143908
7,6,bishop,77943
7,6,king,330908
7,6,knight,87748
7,6,pawn,50130
7,6,queen,118997
7,6,rook,171586
7,7,bishop,37897
7,7,king,343580
7,7,knight,30231
7,7,pawn,25406
7,7,queen,76636
7,7,rook,197378